日付,コード,銘柄名,市場?商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20220630,1326,ＳＰＤＲゴールド?シェア,ETF?ETN,-,-,-,-,-,-
20220630,1328,ＮＥＸＴ　ＦＵＮＤＳ　金価格連動型上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1329,ｉシェアーズ?コア　日経２２５　ＥＴＦ,ETF?ETN,-,-,-,-,-,-
20220630,1330,上場インデックスファンド２２５,ETF?ETN,-,-,-,-,-,-
20220630,1332,日本水産,プライム（内国株式）,50,水産?農林業,1,食品 ,4,TOPIX Mid400
20220630,1333,マルハニチロ,プライム（内国株式）,50,水産?農林業,1,食品 ,4,TOPIX Mid400
20220630,1343,ＮＥＸＴ　ＦＵＮＤＳ　東証ＲＥＩＴ指数連動型上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1345,上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型,ETF?ETN,-,-,-,-,-,-
20220630,1346,ＭＡＸＩＳ　日経２２５上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1348,ＭＡＸＩＳ　トピックス上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1349,ＡＢＦ汎アジア債券インデックス?ファンド,ETF?ETN,-,-,-,-,-,-
20220630,1356,ＴＯＰＩＸベア２倍上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1357,ＮＥＸＴ　ＦＵＮＤＳ　日経平均ダブルインバース?インデックス連動型上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1358,上場インデックスファンド日経レバレッジ指数,ETF?ETN,-,-,-,-,-,-
20220630,1360,日経平均ベア２倍上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1364,ｉシェアーズ　ＪＰＸ日経４００　ＥＴＦ,ETF?ETN,-,-,-,-,-,-
20220630,1365,ダイワ上場投信－日経平均レバレッジ?インデックス,ETF?ETN,-,-,-,-,-,-
20220630,1366,ダイワ上場投信－日経平均ダブルインバース?インデックス,ETF?ETN,-,-,-,-,-,-
20220630,1367,ダイワ上場投信－ＴＯＰＩＸレバレッジ（２倍）指数,ETF?ETN,-,-,-,-,-,-
20220630,1368,ダイワ上場投信－ＴＯＰＩＸダブルインバース（－２倍）指数,ETF?ETN,-,-,-,-,-,-
20220630,1369,Ｏｎｅ　ＥＴＦ　日経２２５,ETF?ETN,-,-,-,-,-,-
20220630,1375,雪国まいたけ,プライム（内国株式）,50,水産?農林業,1,食品 ,6,TOPIX Small 1
20220630,1376,カネコ種苗,スタンダード（内国株式）,50,水産?農林業,1,食品 ,7,TOPIX Small 2
20220630,1377,サカタのタネ,プライム（内国株式）,50,水産?農林業,1,食品 ,6,TOPIX Small 1
20220630,1379,ホクト,プライム（内国株式）,50,水産?農林業,1,食品 ,6,TOPIX Small 1
20220630,1380,秋川牧園,スタンダード（内国株式）,50,水産?農林業,1,食品 ,-,-
20220630,1381,アクシーズ,スタンダード（内国株式）,50,水産?農林業,1,食品 ,-,-
20220630,1382,ホーブ,スタンダード（内国株式）,50,水産?農林業,1,食品 ,-,-
20220630,1383,ベルグアース,スタンダード（内国株式）,50,水産?農林業,1,食品 ,-,-
20220630,1384,ホクリヨウ,スタンダード（内国株式）,50,水産?農林業,1,食品 ,7,TOPIX Small 2
20220630,1385,ＵＢＳ　ＥＴＦ　ユーロ圏大型株５０（ユーロ?ストックス５０）,ETF?ETN,-,-,-,-,-,-
20220630,1386,ＵＢＳ　ＥＴＦ　欧州株（ＭＳＣＩヨーロッパ）,ETF?ETN,-,-,-,-,-,-
20220630,1387,ＵＢＳ　ＥＴＦ　ユーロ圏株（ＭＳＣＩ　ＥＭＵ）,ETF?ETN,-,-,-,-,-,-
20220630,1388,ＵＢＳ　ＥＴＦ　ユーロ圏小型株（ＭＳＣＩ　ＥＭＵ小型株）,ETF?ETN,-,-,-,-,-,-
20220630,1389,ＵＢＳ　ＥＴＦ　英国大型株１００（ＦＴＳＥ　１００）,ETF?ETN,-,-,-,-,-,-
20220630,1390,ＵＢＳ　ＥＴＦ　ＭＳＣＩアジア太平洋株（除く日本）,ETF?ETN,-,-,-,-,-,-
20220630,1391,ＵＢＳ　ＥＴＦ　スイス株（ＭＳＣＩスイス２０／３５）,ETF?ETN,-,-,-,-,-,-
20220630,1392,ＵＢＳ　ＥＴＦ　英国株（ＭＳＣＩ英国）,ETF?ETN,-,-,-,-,-,-
20220630,1393,ＵＢＳ　ＥＴＦ　米国株（ＭＳＣＩ米国）,ETF?ETN,-,-,-,-,-,-
20220630,1394,ＵＢＳ　ＥＴＦ　先進国株（ＭＳＣＩワールド）,ETF?ETN,-,-,-,-,-,-
20220630,1397,ＳＭＤＡＭ　日経２２５上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1398,ＳＭＤＡＭ　東証ＲＥＩＴ指数上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1399,上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ,ETF?ETN,-,-,-,-,-,-
20220630,1400,ルーデン?ホールディングス,グロース（内国株式）,2050,建設業,3,建設?資材 ,-,-
20220630,1401,エムビーエス,グロース（内国株式）,2050,建設業,3,建設?資材 ,-,-
20220630,1407,ウエストホールディングス,スタンダード（内国株式）,2050,建設業,3,建設?資材 ,-,-
20220630,1414,ショーボンドホールディングス,プライム（内国株式）,2050,建設業,3,建設?資材 ,4,TOPIX Mid400
20220630,1417,ミライト?ホールディングス,プライム（内国株式）,2050,建設業,3,建設?資材 ,4,TOPIX Mid400
20220630,1418,インターライフホールディングス,スタンダード（内国株式）,2050,建設業,3,建設?資材 ,-,-
20220630,1419,タマホーム,プライム（内国株式）,2050,建設業,3,建設?資材 ,6,TOPIX Small 1
20220630,1420,サンヨーホームズ,スタンダード（内国株式）,2050,建設業,3,建設?資材 ,7,TOPIX Small 2
20220630,1429,日本アクア,プライム（内国株式）,2050,建設業,3,建設?資材 ,7,TOPIX Small 2
20220630,1430,ファーストコーポレーション,プライム（内国株式）,2050,建設業,3,建設?資材 ,7,TOPIX Small 2
20220630,1431,Ｌｉｂ　Ｗｏｒｋ,グロース（内国株式）,2050,建設業,3,建設?資材 ,-,-
20220630,1432,動力,PRO Market,2050,建設業,3,建設?資材 ,-,-
20220630,1433,ベステラ,プライム（内国株式）,2050,建設業,3,建設?資材 ,7,TOPIX Small 2
20220630,1434,ＪＥＳＣＯホールディングス,スタンダード（内国株式）,2050,建設業,3,建設?資材 ,-,-
20220630,1435,Ｒｏｂｏｔ　Ｈｏｍｅ,プライム（内国株式）,2050,建設業,3,建設?資材 ,7,TOPIX Small 2
20220630,1436,フィット,グロース（内国株式）,2050,建設業,3,建設?資材 ,-,-
20220630,1439,安江工務店,スタンダード（内国株式）,2050,建設業,3,建設?資材 ,-,-
20220630,1440,やまぜんホームズ,PRO Market,2050,建設業,3,建設?資材 ,-,-
20220630,1443,技研ホールディングス,スタンダード（内国株式）,2050,建設業,3,建設?資材 ,-,-
20220630,1445,ひかりホールディングス,PRO Market,2050,建設業,3,建設?資材 ,-,-
20220630,1446,キャンディル,スタンダード（内国株式）,2050,建設業,3,建設?資材 ,7,TOPIX Small 2
20220630,1447,ＩＴｂｏｏｋホールディングス,グロース（内国株式）,2050,建設業,3,建設?資材 ,-,-
20220630,1450,田中建設工業,スタンダード（内国株式）,2050,建設業,3,建設?資材 ,-,-
20220630,1451,ＫＨＣ,スタンダード（内国株式）,2050,建設業,3,建設?資材 ,-,-
20220630,1452,横浜ライト工業,PRO Market,2050,建設業,3,建設?資材 ,-,-
20220630,1456,ダイワ上場投信－日経平均インバース?インデックス,ETF?ETN,-,-,-,-,-,-
20220630,1457,ダイワ上場投信－ＴＯＰＩＸインバース（－１倍）指数,ETF?ETN,-,-,-,-,-,-
20220630,1458,楽天ＥＴＦ‐日経レバレッジ指数連動型,ETF?ETN,-,-,-,-,-,-
20220630,1459,楽天ＥＴＦ‐日経ダブルインバース指数連動型,ETF?ETN,-,-,-,-,-,-
20220630,1464,ダイワ上場投信－ＪＰＸ日経４００レバレッジ?インデックス,ETF?ETN,-,-,-,-,-,-
20220630,1465,ダイワ上場投信－ＪＰＸ日経４００インバース?インデックス,ETF?ETN,-,-,-,-,-,-
20220630,1466,ダイワ上場投信－ＪＰＸ日経４００ダブルインバース?インデックス,ETF?ETN,-,-,-,-,-,-
20220630,1467,ＪＰＸ日経４００ブル２倍上場投信（レバレッジ）,ETF?ETN,-,-,-,-,-,-
20220630,1468,ＪＰＸ日経４００ベア上場投信（インバース）,ETF?ETN,-,-,-,-,-,-
20220630,1469,ＪＰＸ日経４００ベア２倍上場投信（ダブルインバース）,ETF?ETN,-,-,-,-,-,-
20220630,1472,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経４００ダブルインバース?インデックス連動型上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1473,Ｏｎｅ　ＥＴＦ　トピックス,ETF?ETN,-,-,-,-,-,-
20220630,1474,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経４００,ETF?ETN,-,-,-,-,-,-
20220630,1475,ｉシェアーズ?コア　ＴＯＰＩＸ　ＥＴＦ,ETF?ETN,-,-,-,-,-,-
20220630,1476,ｉシェアーズ?コア　Ｊリート　ＥＴＦ,ETF?ETN,-,-,-,-,-,-
20220630,1477,ｉシェアーズ　ＭＳＣＩ　日本株最小分散　ＥＴＦ,ETF?ETN,-,-,-,-,-,-
20220630,1478,ｉシェアーズ　ＭＳＣＩ　ジャパン高配当利回り　ＥＴＦ,ETF?ETN,-,-,-,-,-,-
20220630,1479,ダイワ上場投信－ＭＳＣＩ日本株人材設備投資指数,ETF?ETN,-,-,-,-,-,-
20220630,1480,ＮＥＸＴ　ＦＵＮＤＳ　野村企業価値分配指数連動型上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1481,上場インデックスファンド日本経済貢献株,ETF?ETN,-,-,-,-,-,-
20220630,1482,ｉシェアーズ?コア　米国債７－１０年　ＥＴＦ（為替ヘッジあり）,ETF?ETN,-,-,-,-,-,-
20220630,1483,ｉシェアーズ　ＪＰＸ／Ｓ＆Ｐ設備?人材投資　ＥＴＦ,ETF?ETN,-,-,-,-,-,-
20220630,1484,Ｏｎｅ　ＥＴＦ　ＪＰＸ／Ｓ＆Ｐ　設備?人材投資指数,ETF?ETN,-,-,-,-,-,-
20220630,1485,ＭＡＸＩＳ　ＪＡＰＡＮ　設備?人材積極投資企業２００上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1486,上場インデックスファンド米国債券（為替ヘッジなし）,ETF?ETN,-,-,-,-,-,-
20220630,1487,上場インデックスファンド米国債券（為替ヘッジあり）,ETF?ETN,-,-,-,-,-,-
20220630,1488,ダイワ上場投信－東証ＲＥＩＴ指数,ETF?ETN,-,-,-,-,-,-
20220630,1489,ＮＥＸＴ　ＦＵＮＤＳ　日経平均高配当株５０指数連動型上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1490,上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ（βヘッジ）,ETF?ETN,-,-,-,-,-,-
20220630,1491,中外鉱業,スタンダード（内国株式）,3500,非鉄金属,7,鉄鋼?非鉄 ,-,-
20220630,1492,ＭＡＸＩＳ　ＪＰＸ　日経中小型株指数上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1493,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経中小型,ETF?ETN,-,-,-,-,-,-
20220630,1494,Ｏｎｅ　ＥＴＦ　高配当日本株,ETF?ETN,-,-,-,-,-,-
20220630,1495,上場インデックスファンドアジアリート,ETF?ETN,-,-,-,-,-,-
20220630,1496,ｉシェアーズ　米ドル建て投資適格社債　ＥＴＦ（為替ヘッジあり）,ETF?ETN,-,-,-,-,-,-
20220630,1497,ｉシェアーズ　米ドル建てハイイールド社債　ＥＴＦ（為替ヘッジあり）,ETF?ETN,-,-,-,-,-,-
20220630,1498,Ｏｎｅ　ＥＴＦ　ＥＳＧ,ETF?ETN,-,-,-,-,-,-
20220630,1499,ＭＡＸＩＳ日本株高配当７０マーケットニュートラル上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1514,住石ホールディングス,スタンダード（内国株式）,1050,鉱業,2,エネルギー資源 ,7,TOPIX Small 2
20220630,1515,日鉄鉱業,プライム（内国株式）,1050,鉱業,2,エネルギー資源 ,7,TOPIX Small 2
20220630,1518,三井松島ホールディングス,プライム（内国株式）,1050,鉱業,2,エネルギー資源 ,7,TOPIX Small 2
20220630,1540,純金上場信託（現物国内保管型）,ETF?ETN,-,-,-,-,-,-
20220630,1541,純プラチナ上場信託（現物国内保管型）,ETF?ETN,-,-,-,-,-,-
20220630,1542,純銀上場信託（現物国内保管型）,ETF?ETN,-,-,-,-,-,-
20220630,1543,純パラジウム上場信託（現物国内保管型）,ETF?ETN,-,-,-,-,-,-
20220630,1545,ＮＥＸＴ　ＦＵＮＤＳ　ＮＡＳＤＡＱ－１００（為替ヘッジなし）連動型上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1546,ＮＥＸＴ　ＦＵＮＤＳ　ダウ?ジョーンズ工業株３０種平均株価（為替ヘッジなし）連動型上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1547,上場インデックスファンド米国株式（Ｓ＆Ｐ５００）,ETF?ETN,-,-,-,-,-,-
20220630,1550,ＭＡＸＩＳ　海外株式（ＭＳＣＩコクサイ）上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1551,ＪＡＳＤＡＱ－ＴＯＰ２０上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1552,国際のＥＴＦ　ＶＩＸ短期先物指数,ETF?ETN,-,-,-,-,-,-
20220630,1554,上場インデックスファンド世界株式（ＭＳＣＩ　ＡＣＷＩ）除く日本,ETF?ETN,-,-,-,-,-,-
20220630,1555,上場インデックスファンド豪州リート（Ｓ＆Ｐ／ＡＳＸ２００　Ａ‐ＲＥＩＴ）,ETF?ETN,-,-,-,-,-,-
20220630,1557,ＳＰＤＲ　Ｓ＆Ｐ５００　ＥＴＦ,ETF?ETN,-,-,-,-,-,-
20220630,1559,ＮＥＸＴ　ＦＵＮＤＳ　タイ株式ＳＥＴ５０指数連動型上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1560,ＮＥＸＴ　ＦＵＮＤＳ　ＦＴＳＥブルサ?マレーシアＫＬＣＩ連動型上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1563,マザーズ?コア上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1566,上場インデックスファンド新興国債券,ETF?ETN,-,-,-,-,-,-
20220630,1568,ＴＯＰＩＸブル２倍上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1569,ＴＯＰＩＸベア上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1570,ＮＥＸＴ　ＦＵＮＤＳ　日経平均レバレッジ?インデックス連動型上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1571,ＮＥＸＴ　ＦＵＮＤＳ　日経平均インバース?インデックス連動型上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1572,中国Ｈ株ブル２倍上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1573,中国Ｈ株ベア上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1575,ＣｈｉｎａＡＭＣ　ＣＳＩ　３００　Ｉｎｄｅｘ　ＥＴＦ－ＪＤＲ,ETF?ETN,-,-,-,-,-,-
20220630,1577,ＮＥＸＴ　ＦＵＮＤＳ　野村日本株高配当７０連動型上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1578,上場インデックスファンド日経２２５（ミニ）,ETF?ETN,-,-,-,-,-,-
20220630,1579,日経平均ブル２倍上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1580,日経平均ベア上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1584,サムスンＫＯＤＥＸサムスングループ株証券上場指数投資信託［株式］,ETF?ETN,-,-,-,-,-,-
20220630,1585,ダイワ上場投信?ＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,ETF?ETN,-,-,-,-,-,-
20220630,1586,上場インデックスファンドＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,ETF?ETN,-,-,-,-,-,-
20220630,1591,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経インデックス４００連動型上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1592,上場インデックスファンドＪＰＸ日経インデックス４００,ETF?ETN,-,-,-,-,-,-
20220630,1593,ＭＡＸＩＳ　ＪＰＸ日経インデックス４００上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1595,ＮＺＡＭ　上場投信　東証ＲＥＩＴ指数,ETF?ETN,-,-,-,-,-,-
20220630,1596,ＮＺＡＭ　上場投信　ＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,ETF?ETN,-,-,-,-,-,-
20220630,1597,ＭＡＸＩＳ　Ｊリート上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1599,ダイワ上場投信－ＪＰＸ日経４００,ETF?ETN,-,-,-,-,-,-
20220630,1605,ＩＮＰＥＸ,プライム（内国株式）,1050,鉱業,2,エネルギー資源 ,4,TOPIX Mid400
20220630,1615,ＮＥＸＴ　ＦＵＮＤＳ　東証銀行業株価指数連動型上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1617,ＮＥＸＴ　ＦＵＮＤＳ　食品（ＴＯＰＩＸ－１７）上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1618,ＮＥＸＴ　ＦＵＮＤＳ　エネルギー資源（ＴＯＰＩＸ－１７）上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1619,ＮＥＸＴ　ＦＵＮＤＳ　建設?資材（ＴＯＰＩＸ－１７）上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1620,ＮＥＸＴ　ＦＵＮＤＳ　素材?化学（ＴＯＰＩＸ－１７）上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1621,ＮＥＸＴ　ＦＵＮＤＳ　医薬品（ＴＯＰＩＸ－１７）上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1622,ＮＥＸＴ　ＦＵＮＤＳ　自動車?輸送機（ＴＯＰＩＸ－１７）上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1623,ＮＥＸＴ　ＦＵＮＤＳ　鉄鋼?非鉄（ＴＯＰＩＸ－１７）上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1624,ＮＥＸＴ　ＦＵＮＤＳ　機械（ＴＯＰＩＸ－１７）上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1625,ＮＥＸＴ　ＦＵＮＤＳ　電機?精密（ＴＯＰＩＸ－１７）上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1626,ＮＥＸＴ　ＦＵＮＤＳ　情報通信?サービスその他（ＴＯＰＩＸ－１７）上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1627,ＮＥＸＴ　ＦＵＮＤＳ　電力?ガス（ＴＯＰＩＸ－１７）上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1628,ＮＥＸＴ　ＦＵＮＤＳ　運輸?物流（ＴＯＰＩＸ－１７）上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1629,ＮＥＸＴ　ＦＵＮＤＳ　商社?卸売（ＴＯＰＩＸ－１７）上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1630,ＮＥＸＴ　ＦＵＮＤＳ　小売（ＴＯＰＩＸ－１７）上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1631,ＮＥＸＴ　ＦＵＮＤＳ　銀行（ＴＯＰＩＸ－１７）上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1632,ＮＥＸＴ　ＦＵＮＤＳ　金融（除く銀行）（ＴＯＰＩＸ－１７）上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1633,ＮＥＸＴ　ＦＵＮＤＳ　不動産（ＴＯＰＩＸ－１７）上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1651,ダイワ上場投信－ＴＯＰＩＸ高配当４０指数,ETF?ETN,-,-,-,-,-,-
20220630,1652,ダイワ上場投信－ＭＳＣＩ日本株女性活躍指数（ＷＩＮ）,ETF?ETN,-,-,-,-,-,-
20220630,1653,ダイワ上場投信－ＭＳＣＩジャパンＥＳＧセレクト?リーダーズ指数,ETF?ETN,-,-,-,-,-,-
20220630,1654,ダイワ上場投信－ＦＴＳＥ　Ｂｌｏｓｓｏｍ　Ｊａｐａｎ　Ｉｎｄｅｘ,ETF?ETN,-,-,-,-,-,-
20220630,1655,ｉシェアーズ　Ｓ＆Ｐ　５００　米国株　ＥＴＦ,ETF?ETN,-,-,-,-,-,-
20220630,1656,ｉシェアーズ?コア　米国債７－１０年　ＥＴＦ,ETF?ETN,-,-,-,-,-,-
20220630,1657,ｉシェアーズ?コア　ＭＳＣＩ　先進国株（除く日本）　ＥＴＦ,ETF?ETN,-,-,-,-,-,-
20220630,1658,ｉシェアーズ?コア　ＭＳＣＩ　新興国株　ＥＴＦ,ETF?ETN,-,-,-,-,-,-
20220630,1659,ｉシェアーズ　米国リート　ＥＴＦ,ETF?ETN,-,-,-,-,-,-
20220630,1660,ＭＡＸＩＳ高利回りＪリート上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1662,石油資源開発,プライム（内国株式）,1050,鉱業,2,エネルギー資源 ,6,TOPIX Small 1
20220630,1663,Ｋ＆Ｏエナジーグループ,プライム（内国株式）,1050,鉱業,2,エネルギー資源 ,7,TOPIX Small 2
20220630,1671,ＷＴＩ原油価格連動型上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1672,ＷｉｓｄｏｍＴｒｅｅ　金上場投資信託,ETF?ETN,-,-,-,-,-,-
20220630,1673,ＷｉｓｄｏｍＴｒｅｅ　銀上場投資信託,ETF?ETN,-,-,-,-,-,-
20220630,1674,ＷｉｓｄｏｍＴｒｅｅ　白金上場投資信託,ETF?ETN,-,-,-,-,-,-
20220630,1675,ＷｉｓｄｏｍＴｒｅｅ　パラジウム上場投資信託,ETF?ETN,-,-,-,-,-,-
20220630,1676,ＷｉｓｄｏｍＴｒｅｅ　貴金属バスケット上場投資信託,ETF?ETN,-,-,-,-,-,-
20220630,1677,上場インデックスファンド海外債券（ＦＴＳＥ　ＷＧＢＩ）毎月分配型,ETF?ETN,-,-,-,-,-,-
20220630,1678,ＮＥＸＴ　ＦＵＮＤＳ　インド株式指数?Ｎｉｆｔｙ　５０連動型上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1679,Ｓｉｍｐｌｅ－Ｘ　ＮＹダウ?ジョーンズ?インデックス上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1680,上場インデックスファンド海外先進国株式（ＭＳＣＩ－ＫＯＫＵＳＡＩ）,ETF?ETN,-,-,-,-,-,-
20220630,1681,上場インデックスファンド海外新興国株式（ＭＳＣＩエマージング）,ETF?ETN,-,-,-,-,-,-
20220630,1682,ＮＥＸＴ　ＦＵＮＤＳ　日経?ＪＰＸ白金指数連動型上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1684,ＷｉｓｄｏｍＴｒｅｅ　ブロード上場投資信託,ETF?ETN,-,-,-,-,-,-
20220630,1685,ＷｉｓｄｏｍＴｒｅｅ　エネルギー上場投資信託,ETF?ETN,-,-,-,-,-,-
20220630,1686,ＷｉｓｄｏｍＴｒｅｅ　産業用金属上場投資信託,ETF?ETN,-,-,-,-,-,-
20220630,1687,ＷｉｓｄｏｍＴｒｅｅ　農産物上場投資信託,ETF?ETN,-,-,-,-,-,-
20220630,1688,ＷｉｓｄｏｍＴｒｅｅ　穀物上場投資信託,ETF?ETN,-,-,-,-,-,-
20220630,1689,ＷｉｓｄｏｍＴｒｅｅ　天然ガス上場投資信託,ETF?ETN,-,-,-,-,-,-
20220630,1690,ＷｉｓｄｏｍＴｒｅｅ　ＷＴＩ　原油上場投資信託,ETF?ETN,-,-,-,-,-,-
20220630,1691,ＷｉｓｄｏｍＴｒｅｅ　ガソリン上場投資信託,ETF?ETN,-,-,-,-,-,-
20220630,1692,ＷｉｓｄｏｍＴｒｅｅ　アルミニウム上場投資信託,ETF?ETN,-,-,-,-,-,-
20220630,1693,ＷｉｓｄｏｍＴｒｅｅ　銅上場投資信託,ETF?ETN,-,-,-,-,-,-
20220630,1694,ＷｉｓｄｏｍＴｒｅｅ　ニッケル上場投資信託,ETF?ETN,-,-,-,-,-,-
20220630,1695,ＷｉｓｄｏｍＴｒｅｅ　小麦上場投資信託,ETF?ETN,-,-,-,-,-,-
20220630,1696,ＷｉｓｄｏｍＴｒｅｅ　とうもろこし上場投資信託,ETF?ETN,-,-,-,-,-,-
20220630,1697,ＷｉｓｄｏｍＴｒｅｅ　大豆上場投資信託,ETF?ETN,-,-,-,-,-,-
20220630,1698,上場インデックスファンド日本高配当（東証配当フォーカス１００）,ETF?ETN,-,-,-,-,-,-
20220630,1699,ＮＥＸＴ　ＦＵＮＤＳ　ＮＯＭＵＲＡ原油インデックス連動型上場投信,ETF?ETN,-,-,-,-,-,-
20220630,1711,ＳＤＳホールディングス,スタンダード（内国株式）,2050,建設業,3,建設?資材 ,-,-
20220630,1712,ダイセキ環境ソリューション,プライム（内国株式）,2050,建設業,3,建設?資材 ,7,TOPIX Small 2
20220630,1716,第一カッター興業,プライム（内国株式）,2050,建設業,3,建設?資材 ,7,TOPIX Small 2
20220630,1717,明豊ファシリティワークス,スタンダード（内国株式）,9050,サービス業,10,情報通信?サービスその他 ,7,TOPIX Small 2
20220630,1718,美樹工業,スタンダード（内国株式）,2050,建設業,3,建設?資材 ,-,-
